word,count,percentage,pos
appear,21,0.0416,verb
seen,21,0.0416,verb
reflecting,21,0.0416,verb
gaze,21,0.0416,noun
person,21,0.0416,noun
open,21,0.0416,adj
lace,21,0.0416,noun
elongated,20,0.0396,verb
tranquility,20,0.0396,noun
focused,20,0.0396,verb
due,20,0.0396,adj
surface,20,0.0396,noun
across,20,0.0396,other
fruits,20,0.0396,noun
each,20,0.0396,other
backdrop,20,0.0396,noun
beauty,20,0.0396,noun
prominent,20,0.0396,adj
scenes,20,0.0396,noun
era,20,0.0396,noun
back,20,0.0396,adv
about,20,0.0396,other
domestic,20,0.0396,adj
paul,20,0.0396,noun
expressive,20,0.0396,verb
black,19,0.0377,adj
emotional,19,0.0377,adj
reflects,19,0.0377,verb
ukiyo,19,0.0377,adj
e,19,0.0377,noun
near,19,0.0377,other
areas,19,0.0377,noun
being,19,0.0377,verb
fabric,19,0.0377,adj
tamara,19,0.0377,noun
intimate,19,0.0377,adj
add,19,0.0377,noun
something,19,0.0377,noun
window,19,0.0377,noun
lush,19,0.0377,noun
if,19,0.0377,other
boats,19,0.0377,noun
particular,18,0.0357,adj
individual,18,0.0357,adj
minimalistic,18,0.0357,adj
pink,18,0.0357,verb
surrounding,18,0.0357,verb
japanese,18,0.0357,noun
shading,18,0.0357,verb
peaceful,18,0.0357,noun
executed,18,0.0357,verb
particularly,18,0.0357,adv
posture,18,0.0357,adj
captured,18,0.0357,verb
interior,18,0.0357,adj
fashion,18,0.0357,noun
relaxed,18,0.0357,adj
reds,18,0.0357,verb
shown,18,0.0357,verb
bowl,18,0.0357,verb
realism,18,0.0357,noun
have,18,0.0357,verb
text,18,0.0357,adj
sea,18,0.0357,noun
naïve,18,0.0357,adj
sophistication,17,0.0337,noun
enhancing,17,0.0337,verb
decorative,17,0.0337,adj
simplified,17,0.0337,verb
see,17,0.0337,verb
theme,17,0.0337,noun
somewhat,17,0.0337,adv
textures,17,0.0337,noun
suggested,17,0.0337,adj
religious,17,0.0337,adj
contribute,17,0.0337,adj
us,17,0.0337,other
vivid,17,0.0337,adj
arms,17,0.0337,noun
limited,17,0.0337,adj
mother,17,0.0337,noun
tranquil,17,0.0337,adj
horse,17,0.0337,noun
pablo,17,0.0337,noun
character,16,0.0317,noun
similar,16,0.0317,adj
lap,16,0.0317,adj
ability,16,0.0317,noun
shoulders,16,0.0317,noun
under,16,0.0317,other
almost,16,0.0317,adv
drawing,16,0.0317,verb
next,16,0.0317,adj
greens,16,0.0317,noun
arm,16,0.0317,noun
wall,16,0.0317,other
evoke,16,0.0317,verb
engaged,16,0.0317,verb
outdoor,16,0.0317,adj
most,16,0.0317,adj
garden,16,0.0317,verb
ballet,16,0.0317,noun
van,16,0.0317,noun
gogh,16,0.0317,noun
eyes,15,0.0297,noun
skin,15,0.0297,adj
hints,15,0.0297,noun
flower,15,0.0297,noun
surroundings,15,0.0297,noun
play,15,0.0297,noun
given,15,0.0297,verb
directed,15,0.0297,verb
late,15,0.0297,adj
children,15,0.0297,noun
narrative,15,0.0297,adj
portraiture,15,0.0297,noun
here,15,0.0297,adv
themes,15,0.0297,adv
gently,15,0.0297,adv
yellows,15,0.0297,verb
upper,15,0.0297,adj
highlights,15,0.0297,noun
design,15,0.0297,noun
view,15,0.0297,noun
vase,15,0.0297,noun
book,15,0.0297,noun
been,15,0.0297,verb
building,15,0.0297,noun
chagall,15,0.0297,noun
tender,15,0.0297,noun
iconic,15,0.0297,adj
female,14,0.0277,adj
nude,14,0.0277,adv
intensity,14,0.0277,noun
represent,14,0.0277,verb
additional,14,0.0277,adj
ground,14,0.0277,noun
paintings,14,0.0277,noun
